Passo			Energia
291			131.249237
292			131.249237
293			131.249237
294			131.249237
295			131.249237
296			131.249237
297			131.249237
298			131.249237
299			131.249237
300			131.249237
301			131.249237
302			131.249237
303			131.249237
304			131.249237
305			131.249237
306			131.249237
307			131.249237
308			131.249237
309			131.249237
310			131.249237
311			131.249237
312			131.249237
313			131.249237
314			131.249237
315			131.249237
316			131.249237
317			131.249237
318			131.249237
319			131.249237
320			131.249237
321			131.249237
322			131.249237
323			131.249237
324			131.249237
325			131.249237
326			131.249237
327			131.249237
328			131.249237
329			131.249237
330			131.249237
331			131.249237
332			131.249237
333			131.249237
334			131.249237
335			131.249237
336			131.249237
337			131.249237
338			131.249237
339			131.249237
340			131.249237
341			131.249237
342			131.249237
343			131.249237
344			131.249237
345			131.249237
346			131.249237
347			131.249237
348			131.249237
349			131.249237
350			131.249237
351			131.249237
352			131.249237
353			131.249237
354			131.249237
355			131.249237
356			131.249237
357			131.249237
358			131.249237
359			131.249237
360			131.249237
361			131.249237
362			131.249237
363			131.249237
364			131.249237
365			131.249237
366			131.249237
367			131.249237
368			131.249237
369			131.249237
370			131.249237
371			131.249237
372			131.249237
373			131.249237
374			131.249237
375			131.249237
376			131.249237
377			131.249237
378			131.249237
379			131.249237
380			131.249237
381			131.249237
382			131.249237
383			131.249237
384			131.249237
385			131.249237
386			131.249237
387			131.249237
388			131.249237
389			131.249237
390			131.249237
391			131.249237
392			131.249237
393			131.249237
394			131.249237
395			131.249237
396			131.249237
397			131.249237
398			131.249237
399			131.249237
400			131.249237
401			131.249237
402			131.249237
403			131.249237
404			131.249237
405			131.249237
406			131.249237
407			131.249237
408			131.249237
409			131.249237
410			131.249237
411			131.249237
412			131.249237
413			131.249237
414			131.249237
415			131.249237
416			131.249237
417			131.249237
418			131.249237
419			131.249237
420			131.249237
421			131.249237
422			131.249237
423			131.249237
424			131.249237
425			131.249237
426			131.249237
427			131.249237
428			131.249237
429			131.249237
430			131.249237
431			131.249237
432			131.249237
433			131.249237
434			131.249237
435			131.249237
436			131.249237
437			131.249237
438			131.249237
439			131.249237
440			131.249237
441			131.249237
442			131.249237
443			131.249237
444			131.249237
445			131.249237
446			131.249237
447			131.249237
448			131.249237
449			131.249237
450			131.249237
451			131.249237
452			131.249237
453			131.249237
454			131.249237
455			131.249237
456			131.249237
457			131.249237
458			131.249237
459			131.249237
460			131.249237
461			131.249237
462			131.249237
463			131.249237
464			131.249237
465			131.249237
466			131.249237
467			131.249237
468			131.249237
469			131.249237
470			131.249237
471			131.249237
472			131.249237
473			131.249237
474			131.249237
475			131.249237
476			131.249237
477			131.249237
478			131.249237
479			131.249237
480			131.249237
481			131.249237
482			131.249237
483			131.249237
484			131.249237
485			131.249237
486			131.249237
487			131.249237
488			131.249237
489			131.249237
490			131.249237
491			131.249237
492			131.249237
493			131.249237
494			131.249237
495			131.249237
496			131.249237
497			131.249237
498			131.249237
499			131.249237
500			131.249237
